## Thu Nov  4 09:44:55 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
2 20 1000 5 33.51469 107.4471 110.1495 0.9306503
2 20 1000 5 34.77519 108.6747 111.3059 0.08641234
2 20 1000 5 35.84177 109.571 112.2769 0.9645442
2 20 1000 5 41.37175 115.0855 117.5885 0.06533974
2 20 1000 5 68.25057 141.1111 142.7931 1.596197e-06
2 20 1000 5 44.76732 117.076 119.9249 0.0005633839
2 20 1000 5 35.88367 109.8371 112.4024 0.004204931
2 20 1000 5 33.14937 107.1137 109.8488 0.8701706
2 20 1000 5 36.59079 110.5511 113.178 0.00400292
2 20 1000 5 46.07608 119.7363 122.4435 0.0001574014
2 20 1000 5 34.43624 108.3663 111.0274 0.001788514
2 20 1000 5 99.55523 164.8884 166.4211 0.0007185923
2 20 1000 5 43.97793 117.8358 120.5472 2.231263e-05
2 20 1000 5 37.33413 110.8163 113.4451 2.385315e-06
2 20 1000 5 33.91726 107.8148 110.4322 0.0001061455
2 20 1000 5 114.2429 181.8629 182.1633 5.786027e-05
2 20 1000 5 34.89478 108.7226 111.3244 1.310255e-08
